Date, Storytel
2016-05-29,31.948
2016-05-30,45.212
2016-05-31,28.936
2016-06-01,29.052
2016-06-02,37.316
2016-06-03,38.272
2016-06-04,28.544
2016-06-05,34.484
2016-06-06,32.02
2016-06-07,30.428
2016-06-08,37.376
2016-06-09,32.692
2016-06-10,29.752
2016-06-11,26.88
2016-06-12,34.584
2016-06-13,34.224
2016-06-14,37.692
2016-06-15,30.652
2016-06-16,36.86
2016-06-17,25.812
2016-06-18,35.324
2016-06-19,26.656
2016-06-20,31.008
2016-06-21,33.408
2016-06-22,100.0
2016-06-23,49.952
2016-06-24,30.312
2016-06-25,35.608
2016-06-26,48.716
2016-06-27,45.192
2016-06-28,36.84
2016-06-29,38.224
2016-06-30,36.412
2016-07-01,35.252
2016-07-02,29.66
2016-07-03,37.312
2016-07-04,38.784
2016-07-05,34.276
2016-07-06,30.848
2016-07-07,40.856
2016-07-08,48.352
2016-07-09,37.404
2016-07-10,40.892
2016-07-11,37.236
2016-07-12,44.472
2016-07-13,45.788
2016-07-14,46.924
2016-07-15,34.82
2016-07-16,39.956
2016-07-17,40.908
2016-07-18,45.844
2016-07-19,48.368
2016-07-20,38.272
2016-07-21,36.356
2016-07-22,36.676
2016-07-23,37.292
2016-07-24,46.988
2016-07-25,37.98
2016-07-26,33.72
2016-07-27,37.36
2016-07-28,49.104
2016-07-29,43.12
2016-07-30,39.568
2016-07-31,37.74
2016-08-01,41.012
2016-08-02,45.564
2016-08-03,25.892
2016-08-04,29.212
2016-08-05,40.06
2016-08-06,29.412
2016-08-07,35.056
2016-08-08,38.588
2016-08-09,34.32
2016-08-10,32.184
2016-08-11,26.792
2016-08-12,31.892
2016-08-13,31.512
2016-08-14,41.06
2016-08-15,40.788
2016-08-16,37.54
2016-08-17,33.228
2016-08-18,31.644
2016-08-19,41.144
2016-08-20,30.704
2016-08-21,40.132
2016-08-22,36.448
2016-08-23,40.376
2016-08-24,33.988
2016-08-25,35.34
2016-08-26,33.8
2016-08-27,32.104
2016-08-28,38.564
2016-08-29,36.78
2016-08-30,31.852
2016-08-31,34.78
2016-09-01,32.468
2016-09-02,30.068
2016-09-03,24.468
2016-09-04,27.64
2016-09-05,38.02
2016-09-06,38.516
2016-09-07,25.432
2016-09-08,36.796
2016-09-09,36.552
2016-09-10,26.512
2016-09-11,35.824
2016-09-12,36.572
2016-09-13,31.528
2016-09-14,32.672
2016-09-15,38.772
2016-09-16,26.632
2016-09-17,36.32
2016-09-18,37.812
2016-09-19,41.328
2016-09-20,35.784
2016-09-21,28.744
2016-09-22,33.732
2016-09-23,24.52
2016-09-24,39.276
2016-09-25,43.3
2016-09-26,34.612
2016-09-27,42.984
2016-09-28,35.696
2016-09-29,30.928
2016-09-30,34.46
2016-10-01,27.62
2016-10-02,35.156
2016-10-03,39.308
2016-10-04,52.26
2016-10-05,35.18
2016-10-06,36.352
2016-10-07,27.876
2016-10-08,27.18
2016-10-09,48.32
2016-10-10,41.664
2016-10-11,37.616
2016-10-12,34.084
2016-10-13,40.864
2016-10-14,31.676
2016-10-15,33.58
2016-10-16,47.48
2016-10-17,35.788
2016-10-18,45.168
2016-10-19,32.288
2016-10-20,37.084
2016-10-21,30.22
2016-10-22,30.26
2016-10-23,48.252
2016-10-24,43.052
2016-10-25,46.04
2016-10-26,34.464
2016-10-27,38.096
2016-10-28,32.804
2016-10-29,50.68
2016-10-30,52.744
2016-10-31,37.004
2016-11-01,45.836
2016-11-02,35.176
2016-11-03,41.036
2016-11-04,31.884
2016-11-05,40.304
2016-11-06,52.932
2016-11-07,45.024
2016-11-08,40.884
2016-11-09,46.972
2016-11-10,47.8
2016-11-11,43.38
2016-11-12,41.856
2016-11-13,60.076
2016-11-14,42.956
2016-11-15,42.356
2016-11-16,46.936
2016-11-17,39.092
2016-11-18,32.32
2016-11-19,27.24
2016-11-20,47.216
2016-11-21,36.36
2016-11-22,53.32
2016-11-23,45.128
2016-11-24,43.976
2016-11-25,41.496
2016-11-26,36.564
2016-11-27,46.46
2016-11-28,37.748
2016-11-29,51.728
2016-11-30,45.776
2016-12-01,38.804
2016-12-02,29.52
2016-12-03,37.388
2016-12-04,46.42
2016-12-05,40.42
2016-12-06,46.072
2016-12-07,49.36
2016-12-08,40.68
2016-12-09,43.672
2016-12-10,29.088
2016-12-11,57.4779116466
2016-12-12,33.8629032258
2016-12-13,44.5870445344
2016-12-14,50.4308943089
2016-12-15,52.2734693878
2016-12-16,32.8647540984
2016-12-17,51.6790123457
2016-12-18,51.4669421488
2016-12-19,57.2199170124
2016-12-20,50.2583333333
2016-12-21,48.9456066946
2016-12-22,51.025210084
2016-12-23,57.0126582278
2016-12-24,49.2923728814
2016-12-25,63.3617021277
2016-12-26,62.1837606838
2016-12-27,59.7124463519
2016-12-28,60.2327586207
2016-12-29,57.5194805195
2016-12-30,52.0217391304
2016-12-31,40.4410480349
2017-01-01,81.9473684211
2017-01-02,66.3656387665
2017-01-03,48.6460176991
2017-01-04,55.1466666667
2017-01-05,60.1116071429
2017-01-06,45.2421524664
2017-01-07,47.1441441441
2017-01-08,45.9366515837
2017-01-09,65.8636363636
2017-01-10,70.4520547945
2017-01-11,51.4266055046
2017-01-12,49.797235023
2017-01-13,45.2777777778
2017-01-14,47.5488372093
2017-01-15,75.785046729
2017-01-16,51.6384976526
2017-01-17,44.570754717
2017-01-18,59.2369668246
2017-01-19,44.9666666667
2017-01-20,41.5215311005
2017-01-21,41.7788461538
2017-01-22,62.4541062802
2017-01-23,48.8398058252
2017-01-24,55.2682926829
2017-01-25,64.9411764706
2017-01-26,50.315270936
2017-01-27,50.4900990099
2017-01-28,46.2786069652
2017-01-29,59.55
2017-01-30,54.3165829146
2017-01-31,55.3686868687
2017-02-01,54.1827411168
2017-02-02,41.0918367347
2017-02-03,38.9487179487
2017-02-04,37.7628865979
2017-02-05,52.9533678756
2017-02-06,48.921875
2017-02-07,45.9162303665
2017-02-08,48.0210526316
2017-02-09,55.253968254
2017-02-10,35.2234042553
2017-02-11,46.2727272727
2017-02-12,65.2419354839
2017-02-13,68.3513513514
2017-02-14,56.5597826087
2017-02-15,56.7213114754
2017-02-16,50.8681318681
2017-02-17,46.8839779006
2017-02-18,76.8833333333
2017-02-19,68.3240223464
2017-02-20,56.4382022472
2017-02-21,52.0451977401
2017-02-22,68.3295454545
2017-02-23,49.4228571429
2017-02-24,43.183908046
2017-02-25,48.8843930636
2017-02-26,52.4069767442
2017-02-27,52.0877192982
